VID,Label,Start,End,Height,Width,FramesCut,AnnotatedFrames,Usage
-or3GptmdFI,16,00:00:52,00:00:55,320,568,72,3,0
-qgEE3uxVp0,72,00:02:21,00:02:24,320,572,90,3,0
-rr80jAfErA,56,00:00:40,00:00:43,320,426,75,3,0
-sPo-af9vKk,21,00:00:10,00:00:16,320,568,180,3,0
-vKye57piuk,41,00:00:03,00:00:09,320,568,180,5,0
-vQ2Q2_knC0,18,00:01:38,00:01:40,320,568,48,3,0
-vW_-uMY4N0,45,00:00:18,00:00:21,320,426,90,3,1
-vaUNnR9V_g,75,00:00:24,00:00:29,320,568,150,3,0
-vkNA2MhpcU,11,00:02:00,00:02:06,320,428,181,3,1
-w_AoYHLkb8,63,00:00:01,00:00:05,320,568,120,3,0
-xXJZjaJZ_Y,46,00:00:07,00:00:10,320,568,90,3,1
-xrM_VI77UQ,55,00:00:11,00:00:17,320,568,150,3,0
01wmkiDXDD8,35,00:00:09,00:00:15,320,568,180,3,1
025gzoHW30M,43,00:00:45,00:00:51,320,568,181,3,1
02WkK5o25ws,34,00:00:08,00:00:14,320,568,180,3,0
0319d9UyJkk,12,00:01:22,00:01:27,320,426,95,3,1
06Wrbztspa4,65,00:01:36,00:01:38,320,426,60,5,0
07qn-A4ENo8,26,00:00:20,00:00:27,320,426,210,5,0
08DluNtGnUY,46,00:00:14,00:00:17,320,426,91,3,0
08x3P2E122U,11,00:06:38,00:06:44,320,568,180,5,0
0997Fi4HXIY,78,00:01:43,00:01:46,320,568,91,3,0
09jkWVQS4XI,72,00:00:19,00:00:27,320,426,240,3,0
0AyidPC70qw,22,00:00:05,00:00:13,320,426,240,3,0
0B_n_5ei8Ts,66,00:00:01,00:00:06,320,568,125,5,0
0E_2RKLEE8I,41,00:00:00,00:00:08,320,568,241,3,0
0E_IgPIOESA,55,00:00:02,00:00:10,320,426,200,3,0
0Iah8AZLEmc,48,00:01:52,00:02:00,320,426,240,3,0
0JfJGE1AZrg,76,00:00:00,00:00:06,320,568,181,3,0
0KHqCpC2ODA,35,00:00:54,00:00:57,320,568,75,3,1
0KyLZWRC5-M,43,00:00:00,00:00:05,320,568,151,5,0
0LDJX4duVRU,72,00:00:00,00:00:01,320,564,31,3,0
0MVNR3JvL1U,11,00:00:08,00:00:14,320,568,150,3,0
0MaD7Ltqccs,28,00:00:02,00:00:10,320,568,240,3,0
0NPlxaSbrGc,77,00:00:05,00:00:13,320,568,240,3,0
0OJCvoN10DQ,16,00:00:28,00:00:32,320,426,79,3,0
0PK3U0K7AzE,63,00:00:10,00:00:15,320,426,150,3,0
0PL3ioahHLo,22,00:00:51,00:00:59,320,568,240,3,0
0QCmP0CebB8,46,00:00:19,00:00:24,320,426,150,3,0
0QJt7pXOnRk,28,00:00:06,00:00:10,320,568,120,3,0
0RBrmdUTPkE,43,00:02:30,00:02:38,320,568,241,3,1
0RHlQdSs61U,22,00:00:01,00:00:09,320,426,240,3,0
0RI2dViYmXU,46,00:00:12,00:00:17,320,426,75,3,0
0RRW86v4Z08,46,00:00:14,00:00:17,320,426,91,3,0
0S0aQ0GArRc,36,00:00:00,00:00:08,320,426,241,3,0
0T0Cm9oK5bg,21,00:00:13,00:00:21,320,568,241,3,0
0T3qMnUyB4s,65,00:00:26,00:00:31,320,568,151,5,0
0VFPCin4ENA,63,00:00:18,00:00:26,320,568,200,3,0
0Wd6E1JOmsg,54,00:00:54,00:00:56,320,426,60,5,0
0Xm-9oTzWa0,41,00:00:17,00:00:22,320,568,150,3,1
0XqFHeynFwM,43,00:00:00,00:00:08,320,426,241,3,1
0Ygu7XdkggA,26,00:00:22,00:00:25,320,426,90,3,1
0ZE2_SbdGWY,13,00:06:46,00:06:52,320,426,145,3,0
0b_KrJf9uic,17,00:01:38,00:01:41,320,568,75,3,0
0cOr5_ECxvU,67,00:00:04,00:00:07,320,568,90,3,0
0cbbqMbMJyc,56,00:00:29,00:00:32,320,426,91,3,0
0ckDwjPokW0,11,00:02:44,00:02:51,320,568,211,3,0
0d4sHcxidUY,41,00:00:40,00:00:45,320,426,125,3,0
0dOR4MkwTw4,41,00:00:02,00:00:06,320,426,120,3,0
0deYp3CHiPw,12,00:00:08,00:00:14,320,568,180,3,0
0dgHAuoJKQY,77,00:01:20,00:01:25,320,568,150,3,0
0eWa5F6SCMs,61,00:00:00,00:00:03,320,426,45,3,0
0fdFCrYbjcg,67,00:00:01,00:00:08,320,568,210,3,0
0fnwII_b3S4,61,00:00:27,00:00:31,320,426,121,2,0
0gZz8hESBEs,18,00:01:05,00:01:08,320,568,72,3,0
0iO3tegfR4g,45,00:00:38,00:00:45,320,568,210,3,0
0kKLgSTkCEo,16,00:00:11,00:00:13,320,426,50,3,0
0kiaG1wDovo,55,00:00:26,00:00:33,320,568,211,3,0
0l3iPKBLsqs,55,00:00:25,00:00:30,320,426,104,3,0
0lb6hfFvsZw,12,00:05:22,00:05:25,320,568,75,3,0
0likA4G9N-g,48,00:01:47,00:01:50,320,568,75,3,0
0lxhJQFzikQ,54,00:00:11,00:00:14,320,480,81,3,1
0m1O4YzBGyo,26,00:00:00,00:00:06,320,568,181,3,0
0nCVIRgUItY,13,00:00:25,00:00:33,320,426,240,3,0
0sUGeVNVSeQ,21,00:00:10,00:00:18,320,426,240,3,0
0smdUX75h0Q,72,00:00:20,00:00:28,320,426,240,3,0
0syY70eRHKs,13,00:01:05,00:01:08,320,568,72,3,0
0t4pWrgTHv0,44,00:02:39,00:02:43,320,426,120,3,0
0uv_N0EhfmQ,78,00:08:21,00:08:24,320,568,75,3,1
0xFmIZNNPbQ,68,00:00:00,00:00:04,320,426,121,3,0
0zl1Y8lhSYk,35,00:00:34,00:00:38,320,568,120,5,0
1-Q_DaH8Clw,55,00:01:02,00:01:08,320,568,180,3,0
10MoANXh4LE,55,00:00:13,00:00:21,320,426,241,3,0
10XCfvnVUL0,56,00:00:08,00:00:11,320,568,90,3,0
11fN5sykj2I,66,00:00:05,00:00:11,320,426,180,3,0
129w7Et1Xnw,43,00:00:02,00:00:08,320,426,144,3,0
14I_X1_M7B8,26,00:00:22,00:00:26,320,532,120,3,1
14gWirURq6I,22,00:01:24,00:01:25,320,568,24,3,0
157RAPLxUpQ,17,00:01:07,00:01:10,320,480,90,3,0
15s9dCWCMwQ,61,00:00:01,00:00:04,320,426,90,3,0
15ze_5lekm4,11,00:00:17,00:00:25,320,426,121,3,1
1926p23ooUM,35,00:00:08,00:00:13,320,568,150,3,0
19dJTBEjS8Q,17,00:00:03,00:00:05,320,426,60,3,0
1Am_eZhq0wg,35,00:00:26,00:00:32,320,480,181,3,0
1ApyqVU93N4,22,00:00:32,00:00:39,320,400,210,3,1
1DIeaJqt6bU,65,00:00:00,00:00:03,320,568,91,3,0
1DX-aZNP5NQ,57,00:00:17,00:00:20,320,568,75,3,0
1FNCqCO9u5c,36,00:00:00,00:00:03,320,426,60,3,0
1Fmmpda6-Z8,34,00:00:15,00:00:17,320,426,61,3,0
1HZMPK3bwqE,75,00:00:06,00:00:14,320,480,240,3,0
1Ia-xwNoFHE,13,00:00:35,00:00:40,320,436,150,3,0
1Ib_2-qdFhk,13,00:02:40,00:02:45,320,426,150,3,1
1J04SrAbtcg,11,00:01:25,00:01:27,320,426,60,3,0
1J67hpI4wOk,11,00:05:14,00:05:19,320,568,120,3,1
1KuItO3ZqaM,72,00:00:10,00:00:14,320,568,120,3,0
1LdhIsz6INQ,34,00:00:00,00:00:08,320,568,241,3,0
1LigKS2VHiw,61,00:00:20,00:00:26,320,568,150,3,0
1MV4W0BrsLo,46,00:00:03,00:00:06,320,426,75,3,0
1NMBNBJejFI,65,00:00:04,00:00:07,320,568,90,3,1
1NYANpd5Grs,73,00:00:00,00:00:08,320,426,193,3,1
1NZgPOEn66U,78,00:01:52,00:01:57,320,568,150,3,1
1NrSGmxydbE,26,00:00:01,00:00:09,320,426,240,3,1
1PgcxZ7uopY,22,00:00:00,00:00:08,320,568,241,3,0
1Qljiu90ePc,75,00:00:01,00:00:04,320,426,75,3,0
1RP7TSzEk7w,72,00:00:14,00:00:19,320,564,151,5,0
1TY6VJH-wqY,55,00:00:02,00:00:10,320,568,240,3,0
1VkVlYIbMP4,68,00:02:24,00:02:31,320,568,175,3,0
1X11t4cb8Jg,12,00:00:05,00:00:10,320,564,150,3,0
1_IQZrTz5Hw,28,00:00:54,00:00:59,320,568,125,3,0
1_rWbFfaGNE,21,00:00:01,00:00:09,320,426,240,3,1
1bZde3PaFW0,16,00:01:46,00:01:49,320,568,72,3,0
1dBH-ukFdc0,73,00:01:03,00:01:08,320,426,75,3,0
1dImlUKb_vM,36,00:00:01,00:00:06,320,426,150,5,0
1dpdGHv8hHU,72,00:00:04,00:00:10,320,568,180,3,0
1f19vXJMH44,54,00:00:08,00:00:11,320,568,75,3,0
1fAi5HWssg0,57,00:00:15,00:00:25,320,568,301,3,0
1fjyjBE5YMU,15,00:00:37,00:00:43,320,426,180,3,0
1gl7xr5rftc,68,00:02:20,00:02:25,320,426,75,3,1
1jPMMju2RD8,66,00:00:01,00:00:07,320,568,180,5,0
1kpyM0I-0B4,21,00:00:07,00:00:15,320,426,240,3,0
1nb-YMwqwW8,11,00:01:20,00:01:23,320,570,75,3,0
1nbDNSCrkVs,48,00:00:03,00:00:08,320,426,150,3,0
1ov49K5aU6I,41,00:00:22,00:00:30,320,426,240,3,0
1qErZkpB6iA,48,00:00:00,00:00:05,320,426,151,5,0
1uBxI_52CGM,76,00:00:00,00:00:06,320,426,181,3,0
1wUH6OAaLCA,43,00:00:03,00:00:11,320,426,240,3,1
1x32ooqnDs0,73,00:00:00,00:00:06,320,426,181,3,0
1xRPT8Gfj_E,22,00:00:01,00:00:07,320,426,180,5,0
1yk4gDSh_Fc,13,00:00:53,00:00:57,320,568,32,3,1
1zbiSzq-xPM,77,00:00:16,00:00:18,320,566,48,3,1
20LJtpiuLYE,22,00:00:00,00:00:06,320,568,90,3,0
20WmxUkD88c,75,00:00:07,00:00:10,320,568,90,3,0
20_siizMMEU,77,00:01:08,00:01:11,320,426,90,3,0
20iKj52b85Q,68,00:00:00,00:00:06,320,564,179,3,0
21nY-4v59-A,28,00:00:00,00:00:03,320,564,91,3,0
22WMIu4Zd0w,61,00:00:03,00:00:11,320,426,240,3,1
24uNGOMZqvU,11,00:00:34,00:00:42,320,564,192,3,0
25_fIVYBm3s,67,00:00:28,00:00:36,320,426,241,3,0
25lRakxGC6M,28,00:00:00,00:00:04,320,568,121,3,0
26lH0mg_i94,46,00:00:33,00:00:36,320,568,90,3,0
278HDxtYxn0,54,00:01:33,00:01:39,320,426,180,3,0
27SMSDGvyKk,21,00:00:08,00:00:16,320,426,240,3,0
28RUzMv5W40,26,00:00:45,00:00:53,320,426,241,3,0
28yqDUz6WPw,72,00:00:07,00:00:13,320,426,180,3,0
29WfZ0cCyXg,16,00:01:19,00:01:22,320,568,72,3,1
2As2jOCFXUY,65,00:00:05,00:00:10,320,568,150,3,0
2Av_6yKYM84,22,00:03:15,00:03:18,320,568,76,3,0
2DWN3ip-3bU,43,00:00:32,00:00:35,320,568,75,3,0
2EJPCxODQcI,36,00:00:04,00:00:08,320,568,120,2,0
2EQCNAOMqNY,72,00:00:35,00:00:38,320,400,75,3,0
2Fa2hO60kM0,65,00:00:53,00:00:59,320,426,150,5,0
2G9DODKHHIM,48,00:01:18,00:01:21,320,568,90,3,1
2H2MW8Mx_Pc,21,00:00:10,00:00:16,320,426,180,3,0
2HCnhT7qoLs,48,00:01:35,00:01:39,320,426,96,3,0
2I8KjBvZaBY,17,00:00:35,00:00:38,320,568,90,3,0
2JYGqNacyBo,28,00:00:08,00:00:13,320,568,150,3,0
2KciBrsCKEU,21,00:00:00,00:00:06,320,568,181,3,0
2KlA77j6xAc,11,00:00:17,00:00:21,320,564,100,3,1
2LDFWm4z3As,54,00:00:03,00:00:06,320,568,90,3,0
2Mvpyv1Q9OA,75,00:01:22,00:01:24,320,426,60,3,0
2RqQgW-h0PA,46,00:01:31,00:01:34,320,568,90,3,0
2S-5f_0DEGo,18,00:00:15,00:00:20,320,426,151,5,0
2S1bLRzMoMQ,16,00:00:02,00:00:07,320,568,150,3,0
2VhgGur_QLQ,55,00:00:02,00:00:07,320,580,150,3,0
2W1FphxgQFY,54,00:00:35,00:00:38,320,426,45,3,0
2Z_MueLTkU4,21,00:00:14,00:00:22,320,568,241,3,0
2ZibDCWq4H8,28,00:00:03,00:00:09,320,568,180,3,0
2_W6uhRvTBI,45,00:00:07,00:00:10,320,480,46,3,1
2c-jWclrVN8,46,00:00:27,00:00:34,320,436,99,3,0
2cHtVc70If4,65,00:01:07,00:01:15,320,568,240,5,0
2cR343qUMmU,36,00:00:22,00:00:27,320,426,150,3,0
2e8_DZ0z8HE,41,00:00:10,00:00:18,320,426,240,3,0
2ejL51qnSTc,61,00:00:01,00:00:04,320,426,90,3,0
2etAQ9gzKo4,66,00:01:28,00:01:34,320,426,181,5,0
2gpNBrZW8yg,66,00:00:08,00:00:18,320,568,300,3,0
2hGmD3U7F7I,56,00:01:45,00:01:48,320,568,73,3,1
2jmySqjF9vM,44,00:00:13,00:00:21,320,568,241,3,0
2mIriLBSlco,77,00:00:33,00:00:37,320,568,100,3,0
2mM1IRHn090,56,00:03:37,00:03:40,320,568,90,3,0
2mTpW3518iE,65,00:00:00,00:00:03,320,426,28,3,0
2m_deenn9Bo,35,00:00:59,00:01:06,320,568,211,3,0
2mbKtAnU2c4,68,00:01:16,00:01:24,320,426,144,3,1
2oNJan-y5cI,55,00:01:22,00:01:25,320,400,75,3,0
2sDrR3lOWPY,16,00:00:42,00:00:47,320,564,125,5,0
2sVjifV6rOM,76,00:00:06,00:00:11,320,426,75,3,0
2svqS5sQVRw,55,00:00:19,00:00:22,320,568,90,3,0
2uwn-cDwpsM,55,00:00:17,00:00:22,320,568,150,3,0
2vTxnuWuc4E,16,00:00:02,00:00:09,320,568,210,3,0
2xSLG0gm_og,41,00:00:26,00:00:30,320,426,121,3,1
2yu9Qkdo4HY,21,00:00:24,00:00:32,320,568,240,3,1
2zH86XBZW9M,57,00:00:00,00:00:04,320,558,121,3,0
308iFEokW3k,67,00:00:00,00:00:08,320,568,193,3,1
30y8Uy0B_uk,11,00:01:08,00:01:15,320,568,168,5,0
331z2cA-Q10,78,00:00:34,00:00:37,320,568,75,3,0
33H-fW0qi6s,46,00:00:00,00:00:08,320,568,241,3,0
33o3ffNNEHU,76,00:00:25,00:00:30,320,426,150,5,0
34Z-fOOeWD8,72,00:00:07,00:00:10,320,426,42,3,0
3596FFQZfwo,73,00:00:30,00:00:35,320,568,151,3,0
35gSAMyMiC0,21,00:00:22,00:00:26,320,426,120,3,0
36cQGW1yY7M,28,00:07:34,00:07:42,320,568,192,3,0
36ox3vTtDJ4,35,00:00:05,00:00:08,320,568,90,3,0
37A0J9SX6jg,12,00:00:13,00:00:17,320,568,121,5,0
37IpwlB12CA,16,00:00:07,00:00:13,320,426,180,3,0
3Ai-kolEWo8,66,00:00:18,00:00:22,320,568,96,3,0
3Cazuwx_IyA,34,00:02:46,00:02:53,320,568,210,3,0
3CcQVREqgPM,36,00:00:02,00:00:08,320,426,180,3,0
3CfyKqIHoZI,65,00:00:11,00:00:15,320,568,121,3,0
3CsZEY1TWNs,45,00:00:08,00:00:11,320,568,72,3,0
3DQA-gR25aU,17,00:01:22,00:01:25,320,568,45,3,0
3F0miIJOpVM,34,00:01:15,00:01:19,320,426,121,3,0
3GEsLoeltAs,76,00:00:02,00:00:05,320,426,45,3,0
3HSt4zAk500,61,00:00:05,00:00:13,320,426,120,3,0
3KZt_zA7Z80,22,00:00:00,00:00:05,320,426,151,3,1
3OL8ka2qRjw,43,00:00:01,00:00:09,320,426,240,3,0
3OOe0PEsosM,63,00:00:15,00:00:19,320,426,121,3,1
3OtYVbDsbl4,76,00:00:02,00:00:07,320,426,101,3,0
3Ouf2rVTT_U,17,00:08:40,00:08:43,320,568,90,3,0
3QlWEqI_VmI,44,00:00:02,00:00:05,320,480,90,3,0
3SKyc0aKx70,15,00:01:06,00:01:12,320,568,150,3,0
3SRV3qqUkMk,56,00:00:54,00:00:57,320,480,90,3,0
3TVtsHzjk0g,65,00:00:39,00:00:42,320,568,75,3,1
3U3rWowWV38,76,00:01:59,00:02:03,320,568,101,3,0
3W48_zP80Jc,46,00:02:03,00:02:06,320,568,90,3,1
3W4aL4r3NQg,21,00:00:02,00:00:08,320,532,180,3,0
3WQSG8hqaKA,54,00:00:10,00:00:13,320,426,90,3,0
3Xb7MttBGtc,28,00:00:01,00:00:05,320,426,120,3,0
3YK4apSy4no,61,00:00:05,00:00:11,320,568,180,3,0
3bbN_4bq6Xc,16,00:00:00,00:00:03,320,426,91,3,0
3gGT-k9RMRc,73,00:00:00,00:00:08,320,426,241,3,0
3gbe-0L9yiA,77,00:00:08,00:00:14,320,568,144,3,0
3grcsJN2C4U,68,00:01:45,00:01:51,320,568,181,3,1
3hge80zUXb8,46,00:00:04,00:00:07,320,426,90,3,1
3jIojfAMv_M,26,00:00:49,00:00:54,320,426,125,3,0
3jiGoLRFnJY,76,00:00:11,00:00:17,320,426,181,3,0
3kntCqeudw0,54,00:01:02,00:01:05,320,568,72,5,0
3mX_Jd-Buac,72,00:00:14,00:00:17,320,568,45,3,0
3nP5KcPsPDg,22,00:00:43,00:00:49,320,426,181,3,0
3nrmzQRSA9E,54,00:00:10,00:00:13,320,568,90,3,0
3pcBcmE8BlQ,45,00:00:11,00:00:15,320,568,100,3,0
3pv6hzphecU,21,00:00:02,00:00:07,320,568,120,3,0
3rbzcgnKWV8,15,00:00:02,00:00:05,320,568,90,3,1
3ur7UqCDaVU,45,00:00:40,00:00:42,320,480,60,3,0
3vWwbS4yslg,11,00:00:29,00:00:33,320,568,101,3,0
3w-Jn2DNiLo,21,00:00:08,00:00:16,320,480,240,5,0
3wG7GhHBspI,11,00:00:07,00:00:14,320,580,210,5,0
3z75155Qh0I,75,00:00:01,00:00:05,320,568,120,3,0
3zmjFdWEYCg,22,00:01:28,00:01:33,320,568,151,3,0
3zsM3jBwWIM,18,00:01:28,00:01:32,320,568,96,3,1
40N9GKNzkpE,68,00:00:08,00:00:15,320,568,210,3,0
41Q3PJYW-e4,22,00:00:06,00:00:12,320,426,180,3,0
42vGy77iTwM,48,00:00:09,00:00:11,320,568,50,3,0
43cCJXD45xw,75,00:00:04,00:00:10,320,480,180,3,1
45H1pUXQXos,56,00:00:07,00:00:10,320,426,75,5,0
45hI5NIGjoM,72,00:00:07,00:00:10,320,426,31,3,0
45jD2spRMJs,41,00:00:14,00:00:23,320,568,271,3,0
46sfTmrOT2E,56,00:00:34,00:00:38,320,426,120,5,0
47ZD2oiCcZ8,22,00:00:16,00:00:18,320,568,60,3,0
49CA1JH-fTw,73,00:00:00,00:00:05,320,426,151,3,0
4Ak0n2EzphI,61,00:00:13,00:00:17,320,568,121,5,0
4CZjVBpRQtM,18,00:01:04,00:01:10,320,568,150,3,1
4DIsfDhf-U8,45,00:01:20,00:01:24,320,568,120,3,0
4GNZfsibs7E,68,00:00:00,00:00:02,320,426,61,3,0
4HH2NsDWPEc,15,00:00:00,00:00:04,320,480,119,3,0
4KSYpcSrKSE,15,00:00:16,00:00:18,320,568,50,3,0
4O8mr9iSBdw,17,00:04:33,00:04:36,320,426,90,3,0
4PcL6-mjRNk,77,00:00:43,00:00:49,320,426,181,3,0
4QrlPmK4B94,17,00:00:11,00:00:17,320,568,181,3,0
4QrvLoxFAM4,11,00:02:30,00:02:35,320,568,121,3,0
4RdXzesRzvw,67,00:00:47,00:00:53,320,568,180,5,0
4THg1hTk7JE,73,00:00:17,00:00:22,320,568,150,3,1
4URaexb9uDw,43,00:04:11,00:04:17,320,568,150,3,0
4Ufh1Mwv1rI,57,00:00:46,00:00:50,320,568,96,3,0
4VrkTnjB6j0,21,00:00:18,00:00:24,320,568,180,3,0
4WOut2ptwWc,75,00:00:15,00:00:19,320,568,121,3,0
4ZKO9NeBhHg,56,00:00:10,00:00:16,320,480,180,3,1
4_36zVJDHe0,41,00:00:02,00:00:06,320,426,120,3,0
4_ITertK6K0,11,00:02:51,00:02:56,320,568,120,3,1
4cwJEqSzXbg,56,00:00:45,00:00:50,320,426,151,3,1
4d5PQu7i9TU,21,00:00:10,00:00:18,320,568,192,3,0
4eft6D3PbHI,46,00:00:11,00:00:14,320,568,91,3,0
4ehawC6iiZQ,46,00:00:00,00:00:03,320,570,60,3,0
4ez0EQpnUW8,12,00:00:26,00:00:32,320,568,181,3,0
4f8qMgALT_Y,26,00:00:18,00:00:25,320,426,105,5,0
4fmY-4AMXXE,76,00:00:28,00:00:32,320,568,121,3,0
4i6H57pU5Fc,28,00:01:53,00:01:57,320,426,60,3,0
4k56VzjQY2s,43,00:00:11,00:00:17,320,568,150,3,0
4kOmkuJ0CoU,18,00:01:24,00:01:28,320,426,120,3,0
4ltpjuovmPM,18,00:00:11,00:00:19,320,568,191,3,0
4mOO8ASGbF8,48,00:00:04,00:00:07,320,568,90,3,0
4mgdI7zLdGw,18,00:01:06,00:01:10,320,426,120,5,0
4mjxwKlsaUw,75,00:00:12,00:00:15,320,426,91,5,0
4oYv3cxuwwc,28,00:01:03,00:01:06,320,426,75,3,1
4oqMiniu9uA,13,00:02:21,00:02:25,320,568,96,3,0
4s8-C7HcWbA,65,00:00:07,00:00:10,320,568,90,3,0
4vHTWnxmHWc,45,00:00:00,00:00:08,320,426,240,3,0
4wLoOodR3U0,15,00:00:21,00:00:23,320,568,50,3,0
4xNTw6cEicA,36,00:01:01,00:01:04,320,568,79,3,0
4xWzj1lqLp8,63,00:00:15,00:00:20,320,568,151,3,0
508xrJNlrE4,73,00:00:52,00:00:55,320,568,75,3,1
51jY7qRrqNA,66,00:01:25,00:01:33,320,426,120,3,0
524cMKJukFM,65,00:00:12,00:00:15,320,568,75,3,0
54DuhN4-Cj0,48,00:00:30,00:00:36,320,568,181,3,0
54UpXB8kd5M,16,00:00:03,00:00:11,320,426,240,3,0
54aJXmDnyXQ,68,00:00:17,00:00:20,320,568,90,3,1
550_Zk52K0o,66,00:00:15,00:00:18,320,532,52,3,0
55flVWE0wkA,18,00:04:42,00:04:46,320,568,100,3,0
56GdOG7MONY,26,00:00:20,00:00:26,320,568,180,3,0
56oHsMiQ8QY,78,00:04:19,00:04:25,320,568,180,3,0
57AYg0BbqjY,72,00:00:32,00:00:35,320,426,90,3,1
57nU5wPDef4,43,00:00:00,00:00:05,320,426,151,5,0
58ehMXOun1I,65,00:00:24,00:00:27,320,426,90,3,1
58rYwU1Rnpw,48,00:01:23,00:01:26,320,568,75,3,0
58xVk48t4GI,21,00:00:17,00:00:22,320,426,100,3,0
597j9KkG37U,78,00:00:26,00:00:29,320,568,91,3,0
59wKCYDHWZY,41,00:01:29,00:01:37,320,426,241,3,0
5BTwZJWHqmk,75,00:00:43,00:00:48,320,426,125,3,1
5C8dVmyrUrk,28,00:00:00,00:00:04,320,390,121,3,1
5DBI7LoAEkE,75,00:00:49,00:00:52,320,568,90,3,0
5DEOQzI8_Mc,12,00:01:27,00:01:32,320,568,151,3,1
5DIZA8MuV90,56,00:00:06,00:00:10,320,426,46,3,0
5DLdz3LvYcs,41,00:00:00,00:00:05,320,426,131,5,0
5EQO8sB7qEk,12,00:02:05,00:02:13,320,568,240,3,1
5HWNziFGRMQ,36,00:00:12,00:00:17,320,568,151,3,1
5Kt_pi1z1sA,18,00:00:48,00:00:53,320,580,150,5,0
5L28TM48bF0,76,00:00:01,00:00:06,320,426,150,5,0
5M70V_qw8Z0,41,00:00:05,00:00:12,320,568,210,3,0
5MgnA8i9GJE,34,00:00:16,00:00:24,320,480,240,3,1
5NvhocSFVso,72,00:00:00,00:00:03,320,568,91,5,0
5P5akoQ_eNI,11,00:00:35,00:00:38,320,568,72,3,0
5Ph_xsAPBiA,72,00:00:20,00:00:25,320,480,150,5,0
5QttImm9ubE,35,00:00:04,00:00:06,320,426,50,3,0
